L4B1	GDA_cell	GDA_C	Zellen/mL	day
C1	3.161223392	1.17957E-05	267	2.958333333
C2	2.754465978	1.25869E-05	293	2.958333333
C3	2.165434231	6.76823E-06	222.5	2.958333333
C1	4.220952226	1.06566E-05	264	11.08333333
C2	3.58524031	9.06546E-06	306.5	11.08333333
C3	4.112669247	7.76899E-06	160.5	11.08333333
NH1	2.545314735	1.50546E-05	2238	10.32
NH2	2.492828155	1.05734E-05	1890	10.32
NH3	2.874563169	1.17494E-05	2461	10.32
NH1	6.13125404	4.2833E-05	3198	16.06
NH2	6.702078889	3.74984E-05	3038	16.06
NH3	7.368001718	2.49486E-05	3202	16.06
NO1	3.245454351	2.41206E-05	1385	10.32
NO2	2.927799776	2.00483E-05	988	10.32
NO3	1.937314471	1.51281E-05	758	10.32
NO1	8.982680072	5.26958E-05	2844	16.06
NO2	4.694443591	2.67777E-05	2602	16.06
NO3	2.357777998	1.24147E-05	788	16.06
U1	1.486483916	5.65239E-06	585	10.32
U2	2.633456231	1.04924E-05	619	10.32
U3	2.562287233	9.28529E-06	533	10.32
