time_rest	0	1.98	3.96	5.96	7.77	9.67	10.90	14.65	16.71	17.81	20.58	20.79	21.60	22.67	23.67	24.63	25.10	25.67	25.73	27.69
time_C	0.00	3.10	3.92	4.96	5.96	7.04	10.08													
C1	136.5	179.5	185	180.5	199	155	163.5													
C2	121.5	186	193	191.5	175	166	158.5													
C3	136	199.5	216.5	306	303	310	322													
NO1	72	65	119	251	495	929	1343	3196	3130	NaN	3604									
NO2	77	93	157	331	671	1238	1690	3348	3230	NaN	3280									
NO3	84	92	144	342	661	1207	1927	3280	2890	NaN	3124									
NH1	60	88	130	326	581	1104	1604	3280	3298	NaN	3260									
NH2	65	75	150	329	649	1191	1834	3320	2950	NaN	3244									
NH3	63	79	153	338	681	1299	1962	3160	2893	NaN	3196									
U1	64	47	61	158	285	444	529	490	496	114	NaN	1652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3050
U2	52	61	87	208	363	439	474	390	449	126	NaN	712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3000
U3	48	50	79	210	348	410	433	360	449	116	NaN	540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2160
