Fm(')	Fv(Fq')	Fv/Fm(Fq'/Fm')	p(')	RSigma(')	Sigma(')	Tau(')	Chl_[mg_/m3]	Chl_[pg_/cell]	Chl_fmol_cell	Chl_c2_pg/cell	Chl_c2_fmol_cell	RCII	maxETR	cells_per_mL
5.66	2.44	0.43	0.44	0.04	3.94	669.83	3.23	51.73	57.89	11.63	19.0347454	18.91	1351.93	275.50
4.05	1.58	0.39	0.40	0.05	4.37	650.33	2.47	52.22	58.44	11.64	19.05906643	15.37	1909.17	233.50
2.73	1.01	0.37	0.38	0.04	3.81	618.75	1.72	50.07	56.04	11.22	18.36473366	12.23	1102.03	233.50
77.46	35.26	0.45	0.43	0.04	4.20	644.75	36.76	34.93	39.09	7.93	12.97163172	40.91	951.25	1350.00
51.59	24.00	0.46	0.43	0.04	4.18	618.50	27.59	40.58	45.41	9.23	15.1149974	36.99	965.72	1122.00
84.52	41.59	0.49	0.46	0.05	4.37	640.17	42.92	36.63	41.00	8.43	13.79855342	46.58	827.85	1334.00
84.83	34.80	0.41	0.42	0.05	4.94	583.29	50.03	21.97	24.58	5.17	8.4578617	34.76	1027.15	1840.00
90.62	32.38	0.36	0.37	0.09	8.18	433.33	58.24	22.60	25.29	5.36	8.775336207	26.31	1930.33	1718.00
69.21	29.10	0.42	0.43	0.05	4.82	568.71	40.12	20.62	23.08	4.89	8.003251135	32.72	962.44	1606.00
4.75	2.29	0.48	0.47	0.04	4.20	624.88	2.47	45.86	51.32	15.34	25.10453555	52.11	1200.62	1200.62
1.93	0.76	0.39	0.37	0.04	3.92	619.50	1.17	44.00	49.25	12.66	20.7209861	23.62	1122.32	1122.32
2.09	0.86	0.41	0.43	0.05	4.30	557.83	1.22	48.32	54.08	15.63	25.58256783	20.01	1187.52	1187.52
79.91	36.09	0.44	0.43	0.07	6.23	558.81	43.82	27.07	30.29	6.38	10.43536535	32.66	1528.12	1528.12
56.46	25.26	0.45	0.46	0.05	4.34	617.29	31.19	35.38	39.59	8.37	13.70499528	28.93	1072.19	1072.19
55.39	27.52	0.50	0.48	0.05	4.60	572.88	27.87	35.17	39.36	8.11	13.26942417	26.12	1024.68	1024.68
96.69	44.31	0.46	0.46	0.05	4.82	545.17	52.36	20.90	23.39	5.26	8.601560261	29.96	1108.82	1108.82
67.44	26.89	0.40	0.41	0.05	4.67	546.56	40.55	23.05	25.80	5.78	9.46577699	24.46	1109.69	1109.69
63.25	24.89	0.39	0.40	0.05	4.57	568.33	38.36	21.32	23.86	5.50	9.010361309	23.64	1072.07	1072.07
3.33	1.33	0.40	0.40	0.05	4.72	600.75	2.00	42.20	47.23	10.52	17.22215973	16.74	1243.44	161.00
2.74	1.05	0.38	0.39	0.04	3.99	638.63	1.70	48.57	54.35	12.58	20.59309971	21.73	1181.93	123.50
2.73	1.01	0.37	0.38	0.04	3.81	618.75	1.72	51.51	57.65	13.24	21.67867681	26.33	1102.03	108.50
37.28	18.88	0.51	0.45	0.05	4.39	604.90	18.40	21.27	23.80	5.93	9.709758216	25.13	899.36	1044.00
23.58	10.60	0.45	0.43	0.04	4.29	610.90	12.98	26.06	29.17	7.59	12.42048257	19.20	1090.53	984.00
15.09	7.53	0.50	0.45	0.04	4.11	574.00	7.57	23.97	26.82	6.85	11.21823563	11.31	NA	1022.00
42.18	15.34	0.36	0.37	0.06	5.99	488.33	26.83	15.75	17.62	4.77	7.806557909	21.80	1704.54	1304.00
30.74	13.86	0.45	0.44	0.05	4.66	552.33	16.89	17.90	20.03	4.95	8.108686256	19.51	1154.68	1166.00
18.53	8.00	0.43	0.43	0.04	4.28	585.10	10.53	16.87	18.88	4.45	7.283610978	12.34	1141.25	1254.00
