PAR	ETR_per_RCII	group	[RCII]_amol_cell	ETR_per_cell
1	2.559155968	20	15.50	39.67748491
5	12.94336921	20	15.50	200.6756693
10	25.84609819	20	15.50	400.7212471
20	51.46537196	20	15.50	797.9257791
39	99.44857113	20	15.50	1541.863501
75	187.8102519	20	15.50	2911.834421
110	270.412235	20	15.50	4192.506243
150	360.6933362	20	15.50	5592.236105
205	477.4407333	20	15.50	7402.302841
323	698.3373623	20	15.50	10827.11273
467	914.104044	20	15.50	14172.38725
636	1100.032697	20	15.50	17055.04912
936	1298.910651	20	15.50	20138.47863
1136	1372.429112	20	15.50	21278.31835
1496	1443.272774	20	15.50	22376.68764
1923	1479.774467	20	15.50	22942.61461
1	2.687080992	100	41.49	111.4946428
5	13.41481489	100	41.49	556.6188732
10	26.77847782	100	41.49	1111.115306
20	53.35857199	100	41.49	2213.999109
39	103.268876	100	41.49	4284.91976
75	195.4632594	100	41.49	8110.327283
110	281.189787	100	41.49	11667.36505
150	372.4343628	100	41.49	15453.36235
205	482.1206674	100	41.49	20004.5595
323	646.8791232	100	41.49	26840.85703
467	747.8990762	100	41.49	31032.46258
636	799.4532559	100	41.49	33171.59231
936	833.2219427	100	41.49	34572.75129
1136	842.4047065	100	41.49	34953.77031
1496	850.3218338	100	41.49	35282.27447
1923	854.1932611	100	41.49	35442.91102
1	2.761043546	200	30.98	85.54912249
5	13.78330515	200	30.98	427.0666654
10	27.51181734	200	30.98	852.4356071
20	54.80436128	200	30.98	1698.077172
39	106.0557255	200	30.98	3286.067062
75	197.3166277	200	30.98	6113.72623
110	282.5643873	200	30.98	8755.072124
150	376.1112723	200	30.98	11653.56097
205	496.2636541	200	30.98	15376.40368
323	720.1368768	200	30.98	22312.96858
467	931.2106804	200	30.98	28852.95188
636	1093.740068	200	30.98	33888.8183
936	1226.299654	200	30.98	37996.0901
1136	1267.335045	200	30.98	39267.54476
1496	1306.429509	200	30.98	40478.86106
1923	1329.172846	200	30.98	41183.54845
