Sample	Vol	mL_filtered	Cell_count	Cell_count	Cantha/Inj	Cantha/Inj	Cantha	Chl_c1+2	Peridinin_like	Viola	Diadino	Dino	Diato	Zea	Chl-a	ß-caroten
unit	Liter	NA	Cells/mL	Cells_L	area	ng	%retrieved	ng/l	ng/l	ng/l	ng/l	ng/l	ng/l	ng/l	ng/l	ng/l
L2D2_20_1	0,10	100,00	275,50	275500,00	43926,00	5,35	4,28	3203,88	13080,19	43,25	0,00	1022,68	0,00	0,00	14250,36	733,22
L2D2_20_2	0,10	100,00	233,50	233500,00	51492,00	6,27	5,01	2718,92	11280,15	35,94	0,00	834,64	0,00	0,00	12192,74	503,48
L2D2_20_3	0,10	100,00	233,50	233500,00	50130,00	6,11	4,88	2619,87	10736,71	34,84	0,00	814,33	0,00	0,00	11692,38	522,47
L2D2_100_1	0,02	20,00	1350,00	1350000,00	51582,00	6,28	5,02	10698,83	42533,73	296,33	7569,01	3257,54	0,00	0,00	47153,95	5199,17
L2D2_100_2	0,02	20,00	1122,00	1122000,00	49589,00	6,04	4,83	10361,17	41688,78	257,74	7525,99	3140,11	0,00	0,00	45528,01	4561,37
L2D2_100_3	0,02	20,00	1334,00	1334000,00	49716,00	6,06	4,84	11245,98	45188,61	258,87	8066,78	3334,43	0,00	0,00	48867,77	2824,69
L2D2_200_1	0,02	20,00	1840,00	1840000,00	51795,00	6,31	5,04	9507,94	33658,89	348,33	8821,73	2962,37	766,57	0,00	40418,26	2617,41
L2D2_200_2	0,02	20,00	1718,00	1718000,00	53152,00	6,47	5,17	9210,74	33154,32	366,61	8508,06	2941,48	705,89	0,00	38826,19	2208,96
L2D2_200_3	0,02	20,00	1606,00	1606000,00	53316,00	6,49	5,19	7852,71	29749,69	257,65	7553,19	2427,86	684,92	0,00	33120,25	2245,07
L4B1_20_1	0,10	100,00	65,00	65000,00	47145,00	5,74	4,59	996,95	2940,65	0,00	0,00	216,84	0,00	69,31	2980,81	119,84
L4B1_20_2	0,10	100,00	65,50	65500,00	51152,00	6,23	4,98	829,20	2944,64	0,00	0,00	228,89	0,00	61,82	2882,08	108,93
L4B1_20_3	0,10	100,00	61,00	61000,00	50811,00	6,19	4,95	953,41	2804,65	0,00	0,00	207,28	0,00	58,59	2947,38	126,06
L4B1_100_1	0,02	20,00	1124,00	1124000,00	51665,00	6,29	5,03	7166,08	27963,83	160,98	6580,55	2571,48	0,00	0,00	30422,18	1973,28
L4B1_100_2	0,02	20,00	1124,00	1124000,00	47744,00	5,82	4,65	9411,37	36710,20	205,39	9144,93	3942,85	0,00	0,00	39762,74	2309,65
L4B1_100_3	0,02	20,00	1076,00	1076000,00	48589,00	5,92	4,73	8723,13	33944,44	199,45	8459,31	3538,08	0,00	0,00	37844,05	2287,16
L4B1_200_1	0,02	20,00	1664,00	1664000,00	49902,00	6,08	4,86	8744,57	30676,82	172,16	10368,09	3583,11	424,76	0,00	34770,35	1730,02
L4B1_200_2	0,02	20,00	1472,00	1472000,00	56923,00	6,93	5,54	8512,79	30977,64	180,28	10487,78	3528,43	397,07	0,00	33935,28	1597,28
L4B1_200_3	0,02	20,00	1664,00	1664000,00	48044,00	5,85	4,68	9160,17	31427,89	204,42	10839,70	3497,05	604,32	0,00	35470,52	1606,07
L4B9_20_1	0,10	100,00	161,00	161000,00	50680,00	6,17	4,93	1694,03	6203,09	0,00	0,00	482,23	0,00	0,00	6794,73	316,19
L4B9_20_2	0,10	100,00	123,50	123500,00	56979,00	6,94	5,55	1553,80	5147,24	0,00	0,00	429,86	0,00	0,00	5997,86	229,56
L4B9_20_3	0,10	100,00	108,50	108500,00	59342,00	7,23	5,78	1437,04	5176,41	0,00	0,00	406,89	0,00	0,00	5588,70	239,19
L4B9_100_1	0,02	20,00	1044,00	1044000,00	55859,00	6,80	5,44	6193,22	20703,63	0,00	4268,38	1905,79	0,00	0,00	22204,46	945,25
L4B9_100_2	0,02	20,00	984,00	984000,00	52199,00	6,36	5,08	7466,92	24011,07	0,00	5190,81	2141,65	0,00	0,00	25644,42	1090,63
L4B9_100_3	0,02	20,00	1022,00	1022000,00	53037,00	6,46	5,16	7004,60	22564,91	0,00	4854,49	2107,72	0,00	0,00	24493,91	1118,34
L4B9_200_1	0,02	20,00	1304,00	1304000,00	50952,00	6,21	4,96	6219,35	18533,74	0,00	5603,38	1771,26	536,49	0,00	20535,15	969,65
L4B9_200_2	0,02	20,00	1166,00	1166000,00	52409,00	6,38	5,10	5776,39	18610,94	0,00	5801,07	1942,78	528,19	0,00	20871,46	1040,24
L4B9_200_3	0,02	20,00	1254,00	1254000,00	54901,00	6,69	5,34	5580,23	18499,17	0,00	5777,30	1933,09	414,62	0,00	21150,46	1134,31
