Sample	Peri:Chl_C1_C2	Peri:Chl_a	C1/C2:Chl_a	Diadino:Chl_a	Dino:Chl_a	Diato:Chl_a	caroten:Chl_a
L2D2_20_1	3.95	1.30	0.33	0.00	0.10	0.00	0.09
L2D2_20_2	4.01	1.31	0.33	0.00	0.10	0.00	0.07
L2D2_20_3	3.96	1.30	0.33	0.00	0.10	0.00	0.07
L2D2_100_1	3.84	1.28	0.33	0.25	0.10	0.00	0.18
L2D2_100_2	3.89	1.30	0.33	0.25	0.10	0.00	0.17
L2D2_100_3	3.89	1.31	0.34	0.25	0.09	0.00	0.10
L2D2_200_1	3.42	1.18	0.34	0.33	0.10	0.03	0.11
L2D2_200_2	3.48	1.21	0.35	0.34	0.11	0.03	0.09
L2D2_200_3	3.66	1.27	0.35	0.35	0.10	0.03	0.11
L4B1_20_1	2.85	1.40	0.49	0.00	0.10	0.00	0.07
L4B1_20_2	3.43	1.45	0.42	0.00	0.11	0.00	0.06
L4B1_20_3	2.84	1.35	0.47	0.00	0.10	0.00	0.07
L4B1_100_1	3.77	1.30	0.35	0.33	0.12	0.00	0.11
L4B1_100_2	3.77	1.31	0.35	0.35	0.14	0.00	0.10
L4B1_100_3	3.76	1.27	0.34	0.34	0.13	0.00	0.10
L4B1_200_1	3.39	1.25	0.37	0.46	0.14	0.02	0.08
L4B1_200_2	3.52	1.29	0.37	0.47	0.14	0.02	0.08
L4B1_200_3	3.32	1.25	0.38	0.47	0.14	0.03	0.08
L4B9_20_1	3.54	1.29	0.37	0.00	0.10	0.00	0.08
L4B9_20_2	3.20	1.22	0.38	0.00	0.10	0.00	0.06
L4B9_20_3	3.48	1.31	0.38	0.00	0.10	0.00	0.07
L4B9_100_1	3.23	1.32	0.41	0.29	0.12	0.00	0.07
L4B9_100_2	3.11	1.33	0.43	0.31	0.12	0.00	0.07
L4B9_100_3	3.11	1.30	0.42	0.30	0.12	0.00	0.08
L4B9_200_1	2.88	1.28	0.44	0.42	0.12	0.04	0.08
L4B9_200_2	3.12	1.26	0.41	0.43	0.13	0.04	0.08
L4B9_200_3	3.21	1.24	0.39	0.42	0.13	0.03	0.09
