Growth_rate												
Day_adjusted	0	1,96	4	5,83	7,71	9,85	11,83	13,83	17	19,88	21,92	25,08
20_umol_A	88,5	132	128,5	143,5	163	178,5	189	275,5	293	527	NaN	780
20_umol_B	96,5	129	143,5	157	168	204	195,5	233,5	322	570	NaN	786
20_umol_C	104,75	124,5	127	148	172	183	180,5	233,5	269	538	NaN	886
100_umol_A	120,5	161	330	657	1350	2355	3825	5780	7880	8070	7460	NaN
100_umol_B	108,75	148	331	620	1122	2180	3940	6210	7670	8190	7980	NaN
100_umol_C	134,5	161,5	370	678	1334	2350	4065	5860	7290	8170	8840	NaN
200_umol_A	135	185	493	917	1840	3505	3455	5930	5240	6580	6400	NaN
200_umol_B	118	180	467	893	1718	3560	3650	6060	5510	6780	6200	NaN
200_umol_C	104,5	156,5	451	725	1606	3295	3555	5420	5180	6050	6140	NaN
												
GDA-Messung (pg/Zelle)												
Harvest	1	2	3	4	5							
20_umol_A	2,72693176											
20_umol_B	2,770362396											
20_umol_C	2,851746961											
100_umol_A	2,588393268	2,065367939	2,092936825	5,513625294	6,750589467							
100_umol_B	3,971759657	2,054279584	1,606616873	5,799786945	6,187279153							
100_umol_C	3,070910104	2,352496789	1,837678423	5,799452114	4,804488259							
200_umol_A	3,124875259	3,224238217	2,552469846	7,406854369	7,123916266							
200_umol_B	3,48954037	3,095166559	2,481112657	8,02482294	8,194361912							
200_umol_C	3,552891346	3,130271855	2,402950582	7,396621442	7,679060586							
												
Max_cell_density												
treat	data											
20	886											
100	8840											
200	6780											
