Growth_rate												
Day_100_200	0	1,92	3,83	5,88	7,75	8,85	10,83	12,83	16	18,88	20,92	
Day_20	0	1,92	3,83	5,88	7,75	8,85	9,88	11,88	13,83	16	18,88	20,92
20_umol_A	104,75	106,5	110,5	91	102	71,5	65	93,5	155	230	310	385
20_umol_B	102,75	107	121	111,5	99,5	79	65,5	109,5	192	196	437	645
20_umol_C	93,5	110,5	120	115	103,5	90	61	137	203	292	505	750
100_umol_A	102,75	193,5	374	698	1124	1508	2660	4140	9030	9230	9360	
100_umol_B	108	190	385	648	1124	1562	2615	4390	7530	9350	9220	
100_umol_C	107,75	180,5	369	710	1076	1448	2385	3900	8090	9250	10040	
200_umol_A	113,5	179	340	796	1664	2300	3855	6730	7890	8270	9000	
200_umol_B	124,25	176,5	412	786	1472	2206	3620	6820	7920	8710	8480	
200_umol_C	106,75	158,5	364	856	1664	2192	3605	7030	8360	7820	7780	
												
GDA-Messung (pg/Zelle)												
Harvest	1	2	3	4	5							
20_umol_A	1,08											
20_umol_B	1,01											
20_umol_C	1,03											
100_umol_A	1,91	2,72	3,39	3,8	4,02							
100_umol_B	2,5	2,58	2,61	3,81	4,08							
100_umol_C	2,24	2,41	2,34	3,68	3,3							
200_umol_A	1,17	2,94	3,27	6,13	4,69							
200_umol_B	1,88	2,95	3,11	5,55	4,92							
200_umol_C	2,54	2,89	2,74	5,69	5,48							
												
Max_cell_density												
20	137											
100	10040											
200	9000											
