L2D2	GDA_cell	GDA_C	Zellen/mL	day
C1	5.13E-01	1.46E-06	180.5	4.96
C2	1.046324951	3.52488E-06	191.5	4.96
C3	0.654882068	2.92757E-06	306	4.96
C1	3.227565383	6.24203E-06	163.5	10.08
C2	4.178008655	6.96088E-06	158.5	10.08
C3	3.143685075	9.41384E-06	322	10.08
NH1	1.189712564	6.58134E-06	1343	10.90
NH2	2.197686325	1.3988E-05	1690	10.90
NH3	1.543006693	1.03038E-05	1927	10.90
NH1	3.766410483	2.56123E-05	3130	16.71
NH2	4.566844248	2.47352E-05	3230	16.71
NH3	3.784138612	2.04534E-05	2890	16.71
NO1	2.686381119	1.66549E-05	1604	10.90
NO2	2.400841735	1.66007E-05	1834	10.90
NO3	2.390608716	1.65792E-05	1962	10.90
NO1	3.52804426	2.10698E-05	3298	16.71
NO2	4.684779646	3.08087E-05	2950	16.71
NO3	5.583857849	3.09844E-05	2893	16.71
U1	1.710887837	7.83734E-06	529	10.90
U2	2.622400907	9.17594E-06	474	10.90
U3	2.212522321	7.15424E-06	433	10.90
