time_rest	0.00	2.06	4.07	6.07	8.20	9.94	10.32	14.08	16.06	17.17	19.9375	20.14583333	20.95833333	22.02083333	23.02083333	23.97916667	24.45833333	25.02083333	25.02083333	27.02083333
time_C	0	1.104166667	1.916666667	2.958333333	6.958333333	8.041666667	11.08333333													
C1	124	203	206	267	299	254	264													
C2	122	234.5	234	293	283	282	306.5													
C3	121	210.5	219.5	222.5	207	200	160.5													
NO1	99	154	287	547	1150	1495	2238	3300	3198	NaN	NaN	4328								
NO2	123	131	193	384	1009	1375	1890	3164	3038	NaN	NaN	4576								
NO3	125	126	248	499	1087	2071	2461	3512	3202	NaN	NaN	4484								
NH1	120	94	136	313	629	1045	1385	2908	2844	NaN	NaN	3912								
NH2	112	98	148	267	535	839	988	2632	2602	NaN	NaN	3776								
NH3	107	105	144	308	520	705	758	860	788	NaN	NaN	NaN								
U1	139	156	287	530	629	673	585	240	603	68	NaN	552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1205
U2	110	114	206	465	615	619	619	500	771	191	NaN	2414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3325
U3	107	110	181	401	559	621	533	448	650	134	NaN	982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3175
